,Order ID,Order Status,Category Name,SKU,Quantity,Unit Price,Cost Price,Total Cost Price,Total Price,Order Total,Sub Total,Remaining Balance,Payment Method,Transaction ID,Currency Symbol,Customer ID,Merchant ID,Store Name,Distance (in km),Order Time,Pickup Time,Delivery Time,Order Preparation Time,Flat Discount
0,11265015,ORDERED,Cooking Fat & Oil,KKCO0487,1,4400,4250,4250,4400,4350.0,4400,0,CASH,0,KSh,3755460,893555,Topup Mama,10.9,2022-02-17T16:36:27.000Z,2022-02-17T16:37:16.000Z,2022-02-18T08:00:00.000Z,0,0
1,11264651,ORDERED,Cleaning & Hygiene,KKPT280100,1,180,130,130,180,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
2,11264651,ORDERED,Flour & Sugar,KKFS0702,6,263,247,1482,1578,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
3,11264651,ORDERED,Salt & Seasoning,KKSS0002,10,65,58,580,650,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
4,11264651,ORDERED,Beverages,KKBE0105,1,249,208.5,208.5,249,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
5,11264651,ORDERED,Cooking Fat & Oil,KKCO0310,1,2323,2300,2300,2323,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
6,11264651,ORDERED,Cleaning & Hygiene,KKPT02501,1,85,58,58,85,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
7,11264651,ORDERED,Salt & Seasoning,KKSS0205,2,265,231.42,462.84,530,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
8,11264651,ORDERED,Flour & Sugar,KKFS0102,1,1410,1370,1370,1410,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
9,11264651,ORDERED,Cleaning & Hygiene,KKPT0275,1,250,225,225,250,7255.0,7255,0,CASH,0,KSh,4541187,893555,Topup Mama,6.99,2022-02-17T16:19:05.000Z,2022-02-17T16:19:53.000Z,2022-02-18T09:00:00.000Z,0,0
10,11264496,ORDERED,Cooking Fat & Oil,KKCO0487,1,4400,4250,4250,4400,4400.0,4400,0,CASH,0,KSh,5189011,893555,Topup Mama,1.34,2022-02-17T16:09:33.000Z,2022-02-18T15:00:00.000Z,2022-02-19T10:00:00.000Z,0,0
11,11262052,ORDERED,Cooking Fat & Oil,KKCO0488,1,2210,2125,2125,2210,9545.0,9545,0,CASH,0,KSh,4888249,893555,Topup Mama,11.78,2022-02-17T13:29:06.000Z,2022-02-17T13:30:06.000Z,2022-02-18T08:00:00.000Z,0,0
12,11262052,ORDERED,Flour & Sugar,KKFS0302,3,1740,1720,5160,5220,9545.0,9545,0,CASH,0,KSh,4888249,893555,Topup Mama,11.78,2022-02-17T13:29:06.000Z,2022-02-17T13:30:06.000Z,2022-02-18T08:00:00.000Z,0,0
13,11262052,ORDERED,Salt & Seasoning,KKSS0002,1,65,58,58,65,9545.0,9545,0,CASH,0,KSh,4888249,893555,Topup Mama,11.78,2022-02-17T13:29:06.000Z,2022-02-17T13:30:06.000Z,2022-02-18T08:00:00.000Z,0,0
14,11262052,ORDERED,Cleaning & Hygiene,KKPT0301,2,55,49.2,98.4,110,9545.0,9545,0,CASH,0,KSh,4888249,893555,Topup Mama,11.78,2022-02-17T13:29:06.000Z,2022-02-17T13:30:06.000Z,2022-02-18T08:00:00.000Z,0,0
15,11262052,ORDERED,Cooking Fat & Oil,KKCO0918,1,1940,1900,1900,1940,9545.0,9545,0,CASH,0,KSh,4888249,893555,Topup Mama,11.78,2022-02-17T13:29:06.000Z,2022-02-17T13:30:06.000Z,2022-02-18T08:00:00.000Z,0,0
16,11261663,ORDERED,Rice & Cereals,KKGRO239,1,2450,2320,2320,2450,11990.0,11990,0,CASH,0,KSh,5188263,893555,Topup Mama,4.54,2022-02-17T12:59:40.000Z,2022-02-17T13:00:29.000Z,2022-02-18T08:00:00.000Z,0,0
17,11261663,ORDERED,Flour & Sugar,KKFS0269,1,1690,1670,1670,1690,11990.0,11990,0,CASH,0,KSh,5188263,893555,Topup Mama,4.54,2022-02-17T12:59:40.000Z,2022-02-17T13:00:29.000Z,2022-02-18T08:00:00.000Z,0,0
18,11261663,ORDERED,Salt & Seasoning,KKSS0002,2,65,58,116,130,11990.0,11990,0,CASH,0,KSh,5188263,893555,Topup Mama,4.54,2022-02-17T12:59:40.000Z,2022-02-17T13:00:29.000Z,2022-02-18T08:00:00.000Z,0,0
19,11261663,ORDERED,Flour & Sugar,KKFS1050,1,6350,6300,6300,6350,11990.0,11990,0,CASH,0,KSh,5188263,893555,Topup Mama,4.54,2022-02-17T12:59:40.000Z,2022-02-17T13:00:29.000Z,2022-02-18T08:00:00.000Z,0,0
20,11261663,ORDERED,Flour & Sugar,KKFS2402,1,1370,1330,1330,1370,11990.0,11990,0,CASH,0,KSh,5188263,893555,Topup Mama,4.54,2022-02-17T12:59:40.000Z,2022-02-17T13:00:29.000Z,2022-02-18T08:00:00.000Z,0,0
21,11261381,ORDERED,Flour & Sugar,KKFS0269,2,1690,1670,3340,3380,6730.0,6730,0,CASH,0,KSh,5188161,893555,Topup Mama,4.53,2022-02-17T12:34:57.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
22,11261381,ORDERED,Cooking Fat & Oil,KKCO0918,1,1940,1900,1900,1940,6730.0,6730,0,CASH,0,KSh,5188161,893555,Topup Mama,4.53,2022-02-17T12:34:57.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
23,11261381,ORDERED,Flour & Sugar,KKFS0102,1,1410,1370,1370,1410,6730.0,6730,0,CASH,0,KSh,5188161,893555,Topup Mama,4.53,2022-02-17T12:34:57.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
24,11261311,ORDERED,Cooking Fat & Oil,KKCO0487,5,4400,4250,21250,22000,21755.0,22000,0,CASH,0,KSh,4069172,893555,Topup Mama,21.28,2022-02-17T12:29:59.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
25,11261239,ORDERED,Cooking Fat & Oil,KKCO0487,1,4400,4250,4250,4400,4700.0,4755,0,CASH,0,KSh,3647723,893555,Topup Mama,12.58,2022-02-17T12:24:08.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
26,11261239,ORDERED,Cleaning & Hygiene,KKPT0108,2,150,140,280,300,4700.0,4755,0,CASH,0,KSh,3647723,893555,Topup Mama,12.58,2022-02-17T12:24:08.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
27,11261239,ORDERED,Cleaning & Hygiene,KKPT0301,1,55,49.2,49.2,55,4700.0,4755,0,CASH,0,KSh,3647723,893555,Topup Mama,12.58,2022-02-17T12:24:08.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
28,11261045,ORDERED,Cooking Fat & Oil,KKCO0918,1,1940,1900,1900,1940,2155.0,2155,0,CASH,0,KSh,5188032,893555,Topup Mama,4.54,2022-02-17T12:07:28.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
29,11261045,ORDERED,Cleaning & Hygiene,KKPT0108,1,150,140,140,150,2155.0,2155,0,CASH,0,KSh,5188032,893555,Topup Mama,4.54,2022-02-17T12:07:28.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
30,11261045,ORDERED,Salt & Seasoning,KKSS0002,1,65,58,58,65,2155.0,2155,0,CASH,0,KSh,5188032,893555,Topup Mama,4.54,2022-02-17T12:07:28.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
31,11260769,ORDERED,Cooking Fat & Oil,KKCFO1420,1,2158,2125,2125,2158,2158.0,2158,0,CASH,0,KSh,3942584,893555,Topup Mama,14.3,2022-02-17T11:44:39.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
32,11260641,ORDERED,Meat & Fish,KKMFV3201,1,430,380,380,430,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
33,11260641,ORDERED,Fruits & Vegetables,KKVE0101,3,70,60,180,210,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
34,11260641,ORDERED,Fruits & Vegetables,KKVE0301,3,65,50,150,195,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
35,11260641,ORDERED,Fruits & Vegetables,KKMFV1201,1,160,120,120,160,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
36,11260641,ORDERED,Fruits & Vegetables,KKMFV1301,1,130,90,90,130,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
37,11260641,ORDERED,Fruits & Vegetables,KKMFV1601,2,30,20,40,60,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
38,11260641,ORDERED,Fruits & Vegetables,KKMFV2001,2,60,80,160,120,2662.2,2610,0,Pay Later,0,KSh,5181908,893555,Topup Mama,7.36,2022-02-17T11:33:42.000Z,2022-02-17T13:00:00.000Z,2022-02-18T08:00:00.000Z,0,0
